,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop
102,103,Malawi,b'5125',b'53.0',b'1620',b'1.0',b'2690.0',b'64.0',b'2273',b'4.0',b'267.0',b'8.0'
103,104,Hungary,b'4946',b'30.0',b'6080',b'0.0',b'3630.0',b'7.0',b'708',b'6.0',b'512.0',b'63.0'
104,105,Equatorial Guinea,b'4821',b'0.0',b'830',b'0.0',b'2182.0',b'0.0',b'2556',b'0.0',b'3423.0',b'59.0'
105,106,CAR,b'4652',b'0.0',b'610',b'0.0',b'1728.0',b'0.0',b'2863',b'2.0',b'961.0',b'13.0'
106,107,Hong Kong,b'4525',b'44.0',b'690',b'0.0',b'3599.0',b'51.0',b'857',b'29.0',b'603.0',b'9.0'
107,108,Namibia,b'4344',b'190.0',b'360',b'1.0',b'2379.0',b'9.0',b'1929',b'14.0',b'1706.0',b'14.0'
108,109,Nicaragua,b'4115',b'0.0',b'1280',b'0.0',b'2913.0',b'0.0',b'1074',b'0.0',b'620.0',b'19.0'
109,110,Montenegro,b'4035',b'0.0',b'770',b'0.0',b'2910.0',b'0.0',b'1048',b'0.0',b'6424.0',b'123.0'
110,111,Eswatini,b'3839',b'0.0',b'700',b'0.0',b'2268.0',b'0.0',b'1501',b'11.0',b'3305.0',b'60.0'
111,112,Congo,b'3831',b'0.0',b'760',b'0.0',b'1625.0',b'0.0',b'2130',b'0.0',b'692.0',b'14.0'
112,113,Thailand,b'3378',b'1.0',b'580',b'0.0',b'3194.0',b'0.0',b'126',b'1.0',b'48.0',b'0.8'
113,114,Cuba,b'3364',b'48.0',b'880',b'0.0',b'2692.0',b'72.0',b'584',b'2.0',b'297.0',b'8.0'
114,115,Somalia,b'3257',b'1.0',b'930',b'0.0',b'2374.0',b'0.0',b'790',b'2.0',b'204.0',b'6.0'
115,116,Cabo Verde,b'3179',b'0.0',b'350',b'0.0',b'2317.0',b'0.0',b'827',b'0.0',b'5710.0',b'63.0'
116,117,Mayotte,b'3119',b'0.0',b'390',b'0.0',b'2940.0',b'0.0',b'140',b'1.0',b'11400.0',b'143.0'
117,118,Suriname,b'3016',b'0.0',b'470',b'0.0',b'2036.0',b'0.0',b'933',b'11.0',b'5135.0',b'80.0'
118,119,Mozambique,b'2914',b'59.0',b'190',b'0.0',b'1196.0',b'33.0',b'1699',b'0.0',b'93.0',b'0.6'
119,120,Slovakia,b'2907',b'5.0',b'310',b'0.0',b'1969.0',b'0.0',b'907',b'6.0',b'532.0',b'6.0'
120,121,Sri Lanka,b'2900',b'7.0',b'110',b'0.0',b'2676.0',b'6.0',b'213',b'1.0',b'135.0',b'0.5'
121,122,Mali,b'2640',b'0.0',b'1250',b'0.0',b'1987.0',b'0.0',b'528',b'0.0',b'130.0',b'6.0'
122,123,South Sudan,b'2490',b'1.0',b'470',b'0.0',b'1175.0',b'0.0',b'1268',b'0.0',b'222.0',b'4.0'
123,124,Rwanda,b'2453',b'0.0',b'80',b'0.0',b'1648.0',b'0.0',b'797',b'0.0',b'189.0',b'0.6'
124,125,Lithuania,b'2436',b'20.0',b'810',b'0.0',b'1705.0',b'1.0',b'650',b'6.0',b'897.0',b'30.0'
125,126,Slovenia,b'2429',b'13.0',b'1290',b'0.0',b'2052.0',b'1.0',b'248',b'3.0',b'1168.0',b'62.0'
126,127,Estonia,b'2192',b'2.0',b'630',b'0.0',b'1976.0',b'0.0',b'153',b'0.0',b'1652.0',b'47.0'
127,128,Tunisia,b'2185',b'78.0',b'560',b'2.0',b'1362.0',b'4.0',b'767',b'9.0',b'185.0',b'5.0'
128,129,Guinea-Bissau,b'2117',b'0.0',b'330',b'0.0',b'1015.0',b'0.0',b'1069',b'5.0',b'1073.0',b'17.0'
129,130,Benin,b'2063',b'0.0',b'3900',b'0.0',b'1690.0',b'0.0',b'334',b'0.0',b'170.0',b'3.0'
130,131,Iceland,b'2014',b'3.0',b'100',b'0.0',b'1888.0',b'8.0',b'116',b'1.0',b'5897.0',b'29.0'
